Date,Ticker,Volume,Avg_Volume,Volume_Status
2010-01-14,MA,19419000,11312300,Spike
2010-01-20,AXP,16974300,10233330,Spike
2010-01-20,V,28140800,18232707,Spike
2010-01-21,AXP,26170800,11371721,Spike
2010-01-21,V,29776400,19057257,Spike
2010-02-02,V,32197600,18239880,Spike
2010-02-03,MA,108380000,17232200,Spike
2010-02-03,V,66486800,20751520,Spike
2010-02-04,MA,58136000,19575350,Spike
2010-02-04,V,38687200,21293820,Spike
2010-03-04,MA,32910000,19037500,Spike
2010-03-07,MA,29561000,17608750,Spike
2010-03-07,V,31258400,16779660,Spike
2010-03-08,V,36690800,17415860,Spike
2010-03-09,V,28438800,17939400,Spike
2010-03-10,V,55125200,19967020,Spike
2010-04-13,AXP,14091700,8284220,Spike
2010-04-15,AXP,18333300,8954025,Spike
2010-04-22,AXP,17470200,9551400,Spike
2010-04-27,MA,17995000,9064900,Spike
2010-04-28,MA,14089000,9302700,Spike
2010-04-28,V,29408000,15268440,Spike
2010-04-29,MA,16675000,9577050,Spike
2010-04-29,V,25059600,15648200,Spike
2010-05-02,MA,16928000,10050600,Spike
2010-05-02,V,31020000,16431040,Spike
2010-05-03,MA,29370000,10819500,Spike
2010-05-03,V,30622800,17271500,Spike
2010-05-04,MA,25627000,11709300,Spike
2010-05-04,V,37174400,18392700,Spike
2010-05-05,AXP,22510800,11914730,Spike
2010-05-05,MA,34273000,13102850,Spike
2010-05-05,V,63938000,21051100,Spike
2010-05-06,AXP,30788700,13123455,Spike
2010-05-06,MA,29304000,14319750,Spike
2010-05-06,V,45519200,22848700,Spike
2010-05-09,MA,29826000,15484200,Spike
2010-05-10,MA,29271000,16591200,Spike
2010-05-10,V,47244000,25928280,Spike
2010-05-11,MA,29123000,17464300,Spike
2010-05-13,AXP,27485400,13915465,Spike
2010-05-13,MA,101983000,22777050,Spike
2010-05-13,V,169829200,35031360,Spike
2010-05-16,V,90552000,38929640,Spike
2010-05-17,MA,70828000,27178650,Spike
2010-05-17,V,189331200,47941680,Spike
2010-05-18,MA,91584000,31506100,Spike
2010-05-18,V,131631200,53954960,Spike
2010-05-19,MA,51156000,33632000,Spike
2010-05-19,V,101612800,58302680,Spike
2010-06-20,MA,53737000,24592000,Spike
2010-06-20,V,115862800,38772440,Spike
2010-06-24,AXP,23429700,11522620,Spike
2010-07-15,MA,28878000,16844400,Spike
2010-07-28,V,58866800,22050240,Spike
2010-08-01,MA,29181000,13458050,Spike
2010-08-01,V,53846800,23823760,Spike
2010-08-02,MA,31650000,14223250,Spike
2010-08-03,AXP,15944000,9529720,Spike
2010-08-30,MA,18184000,11407650,Spike
2010-09-01,AXP,11712500,7756360,Spike
2010-09-07,MA,21383000,9875500,Spike
2010-09-07,V,45012000,19534100,Spike
2010-09-08,MA,21207000,10105350,Spike
2010-09-08,V,53064000,21031620,Spike
2010-09-12,MA,39157000,11824300,Spike
2010-09-12,V,60549200,23666480,Spike
2010-09-13,MA,22223000,12635150,Spike
2010-09-13,V,39616000,25112240,Spike
2010-09-14,MA,45712000,14540100,Spike
2010-09-14,V,43076400,26599360,Spike
2010-09-16,AXP,29144100,9075140,Spike
2010-10-03,AXP,38499800,11641765,Spike
2010-10-04,AXP,68417100,14573585,Spike
2010-10-12,MA,18800000,12521900,Spike
2010-10-13,MA,19475000,12406550,Spike
2010-10-27,V,44460800,19338220,Spike
2010-11-01,MA,18490000,10538700,Spike
2010-11-29,MA,15648000,10217900,Spike
2010-11-30,AXP,15223000,9160565,Spike
2010-12-01,V,26758800,16149980,Spike
2010-12-06,V,25374800,16560540,Spike
2010-12-12,V,40988400,18993140,Spike
2010-12-14,V,45802000,20839160,Spike
2010-12-15,AXP,15388500,8764980,Spike
2010-12-15,MA,90628000,13765500,Spike
2010-12-15,V,202230800,30206700,Spike
2010-12-16,AXP,17301100,9226465,Spike
2010-12-16,MA,63476000,16410750,Spike
2010-12-16,V,167890800,37741200,Spike
2010-12-19,AXP,31617900,10433315,Spike
2010-12-19,MA,27406000,17314550,Spike
2010-12-19,V,64190800,40435140,Spike
2010-12-20,MA,32115000,18605700,Spike
2011-01-03,AXP,14066300,9169640,Spike
2011-01-18,AXP,14420900,7330180,Spike
2011-01-18,V,42852800,24021060,Spike
2011-01-19,MA,29098000,13287550,Spike
2011-01-19,V,81365200,25915900,Spike
2011-01-24,AXP,16089200,8045555,Spike
2011-02-02,MA,18662000,11037700,Spike
2011-02-16,MA,14951000,8758900,Spike
2011-03-27,MA,13286000,8754300,Spike
2011-03-29,MA,19207000,9092400,Spike
2011-03-29,V,59673200,23061960,Spike
2011-04-20,AXP,11841400,6397530,Spike
2011-05-02,MA,14846000,8440550,Spike
2011-05-05,V,29754400,16508480,Spike
2011-05-11,V,25078400,16498160,Spike
2011-05-16,MA,11190000,7439650,Spike
2011-05-25,MA,14866000,8530200,Spike
2011-06-07,MA,30792000,9885200,Spike
2011-06-07,V,80785200,22126540,Spike
2011-06-23,AXP,10193300,6738380,Spike
2011-06-23,V,39700800,26034100,Spike
2011-06-28,MA,44579000,11741650,Spike
2011-06-28,V,132109200,32430840,Spike
2011-06-29,MA,37687000,13194850,Spike
2011-06-29,V,119880400,37451540,Spike
2011-06-30,MA,24158000,14051950,Spike
2011-06-30,V,61742400,39590940,Spike
2011-07-06,MA,21592000,13671500,Spike
2011-07-20,AXP,10794600,6898850,Spike
2011-08-02,MA,51905000,12306600,Spike
2011-08-02,V,35308800,19524040,Spike
2011-08-03,AXP,13242700,6547255,Spike
2011-08-03,MA,24544000,12454200,Spike
2011-08-03,V,38827200,19039200,Spike
2011-08-04,AXP,18172400,7194470,Spike
2011-08-04,MA,23768000,13119850,Spike
2011-08-04,V,33626800,19679600,Spike
2011-08-07,AXP,21466400,8000670,Spike
2011-08-07,MA,28694000,14023500,Spike
2011-08-07,V,58529200,21319380,Spike
2011-08-08,AXP,21212600,8716015,Spike
2011-08-08,MA,26779000,14670300,Spike
2011-08-08,V,58702000,23333420,Spike
2011-08-09,AXP,16766100,9221580,Spike
2011-08-09,MA,29809000,15539900,Spike
2011-08-09,V,38429600,24312120,Spike
2011-08-10,MA,25496000,16332250,Spike
2011-09-14,MA,22126000,13626600,Spike
2011-09-15,MA,52441000,15186600,Spike
2011-09-15,V,50275200,22681100,Spike
2011-09-19,V,36064000,23063140,Spike
2011-09-21,V,35689200,23789780,Spike
2011-10-03,AXP,17890900,9011045,Spike
2011-10-26,V,41568000,19794740,Spike
2011-10-31,V,30528400,19588640,Spike
2011-11-01,MA,30756000,12212500,Spike
2011-11-29,AXP,12252500,6755435,Spike
2011-12-15,AXP,11976000,7088785,Spike
2011-12-19,V,27454400,16665680,Spike
2012-01-02,MA,14708000,8239800,Spike
2012-01-03,MA,22841000,8832800,Spike
2012-01-04,MA,14757000,9125900,Spike
2012-01-05,MA,20887000,9773550,Spike
2012-01-19,AXP,12745800,5589855,Spike
2012-01-19,MA,18952000,11408850,Spike
2012-02-01,MA,35026000,13001300,Spike
2012-02-01,V,33740400,16057520,Spike
2012-02-02,MA,22332000,13380050,Spike
2012-02-08,V,39601200,17275320,Spike
2012-02-28,AXP,10159700,6005700,Spike
2012-03-13,AXP,12001900,6049710,Spike
2012-03-15,AXP,11287500,6337185,Spike
2012-04-02,MA,11526000,7487950,Spike
2012-04-09,MA,12612000,7998450,Spike
2012-04-12,V,21497200,12757540,Spike
2012-04-26,AXP,13975100,6396110,Spike
2012-04-30,AXP,10332800,6685180,Spike
2012-04-30,MA,17580000,9249700,Spike
2012-05-01,MA,21649000,9755850,Spike
2012-05-01,V,25366800,13286800,Spike
2012-05-02,MA,15116000,10020450,Spike
2012-05-02,V,47838000,15163260,Spike
2012-05-17,V,25934800,17013200,Spike
2012-05-31,AXP,8749200,5718210,Spike
2012-06-21,V,37216000,14692320,Spike
2012-07-08,MA,11064000,6933050,Spike
2012-07-15,MA,17479000,7550100,Spike
2012-07-15,V,30607600,15217260,Spike
2012-07-18,AXP,13371100,5032790,Spike
2012-07-31,MA,21723000,9227750,Spike
2012-08-30,V,13784000,9130220,Spike
2012-09-04,AXP,6867300,4416065,Spike
2012-09-05,AXP,7405400,4559740,Spike
2012-09-05,MA,9617000,5138600,Spike
2012-09-05,V,15698400,9541640,Spike
2012-09-10,V,15890400,10125180,Spike
2012-09-12,AXP,7827700,4619190,Spike
2012-09-19,MA,11339000,6025900,Spike
2012-09-20,MA,12850000,6381200,Spike
2012-09-20,V,29225600,12835040,Spike
2012-10-02,MA,11976000,7050650,Spike
2012-10-10,MA,12626000,7147800,Spike
2012-10-17,AXP,9677100,5083235,Spike
2012-10-18,AXP,8126600,5140430,Spike
2012-10-22,AXP,8745800,5313840,Spike
2012-10-24,V,15875600,10561700,Spike
2012-10-31,V,21310000,11239500,Spike
2012-11-01,V,18498000,11578520,Spike
2012-11-26,AXP,9897200,5333040,Spike
2012-11-29,MA,9826000,6425250,Spike
2012-12-11,V,18319600,11342000,Spike
2012-12-20,AXP,11464700,5769695,Spike
2013-01-01,MA,12278000,6781900,Spike
2013-01-03,MA,11475000,7174500,Spike
2013-01-06,MA,11398000,7445550,Spike
2013-01-09,MA,12564000,7959150,Spike
2013-01-10,AXP,10492500,5704450,Spike
2013-01-17,AXP,9935600,5738245,Spike
2013-01-29,V,18708000,11036860,Spike
2013-01-30,MA,20412000,9103100,Spike
2013-01-30,V,16685600,11079820,Spike
2013-02-06,AXP,11977900,6410920,Spike
2013-02-06,V,20182800,11315140,Spike
2013-02-24,AXP,8624700,5688945,Spike
2013-03-14,AXP,10265700,5590135,Spike
2013-03-14,MA,11598000,6052050,Spike
2013-03-14,V,17599600,11460360,Spike
2013-03-18,V,17652400,11546400,Spike
2013-03-21,V,18790400,11951220,Spike
2013-03-24,V,19336800,12358900,Spike
2013-03-25,MA,9106000,5796800,Spike
2013-04-08,MA,9011000,5940200,Spike
2013-04-09,AXP,7882100,4872250,Spike
2013-04-17,AXP,10457800,5326270,Spike
2013-04-17,V,21010800,11931220,Spike
2013-04-18,AXP,8461600,5569345,Spike
2013-04-29,MA,7987000,5244000,Spike
2013-04-30,MA,10110000,5483000,Spike
2013-05-01,MA,9470000,5734900,Spike
2013-05-01,V,30677200,10110340,Spike
2013-05-19,V,21192000,13065760,Spike
2013-05-21,AXP,12449000,5010135,Spike
2013-05-22,AXP,7985100,5117685,Spike
2013-06-12,MA,8606000,5263750,Spike
2013-06-19,MA,9215000,5823900,Spike
2013-06-20,MA,12178000,6109000,Spike
2013-06-20,V,17923200,11911620,Spike
2013-07-07,V,19588000,11611860,Spike
2013-07-08,V,23330400,12089420,Spike
2013-07-16,AXP,16305300,5727230,Spike
2013-07-17,AXP,10352300,5945380,Spike
2013-07-24,V,21923200,12065980,Spike
2013-07-30,AXP,10320700,5813260,Spike
2013-07-30,MA,40090000,7177650,Spike
2013-07-30,V,90073600,15783300,Spike
2013-07-31,MA,30337000,8572800,Spike
2013-07-31,V,74287200,19271000,Spike
2013-09-02,MA,11390000,5505250,Spike
2013-09-11,MA,10857000,6030200,Spike
2013-09-19,AXP,10105500,3696310,Spike
2013-09-19,V,57707200,14229500,Spike
2013-10-14,MA,9156000,5419100,Spike
2013-10-15,AXP,6468200,4045200,Spike
2013-10-16,AXP,10366600,4363650,Spike
2013-10-17,AXP,7598200,4238285,Spike
2013-10-30,MA,10221000,5508650,Spike
2013-10-30,V,24035200,11641260,Spike
2013-12-02,V,17032800,10347280,Spike
2013-12-10,MA,25460000,5226800,Spike
2013-12-10,V,40328000,12503040,Spike
2013-12-11,MA,10075000,5488400,Spike
2013-12-16,MA,9610000,5925400,Spike
2013-12-16,V,20647200,13338380,Spike
2013-12-17,AXP,5332300,3421665,Spike
2013-12-17,MA,10444000,6290550,Spike
2013-12-19,AXP,6294500,3540920,Spike
2013-12-19,MA,13154000,7087550,Spike
2013-12-19,V,23263600,14106580,Spike
2014-01-01,AXP,5112000,3276725,Spike
2014-01-12,AXP,5641000,3506390,Spike
2014-01-12,MA,12354000,7917500,Spike
2014-01-16,AXP,14989900,4114835,Spike
2014-01-16,MA,13330000,8045200,Spike
2014-01-16,V,38344400,10923240,Spike
2014-01-20,AXP,7954600,4314750,Spike
2014-01-20,V,19752400,11241120,Spike
2014-01-26,MA,13707500,8318380,Spike
2014-01-26,V,19470800,11994420,Spike
2014-01-30,MA,23252800,9360755,Spike
2014-01-30,V,24457200,14537700,Spike
2014-03-20,AXP,6684500,3520175,Spike
2014-03-20,MA,15077700,5849195,Spike
2014-03-20,V,38092400,12193600,Spike
2014-03-30,AXP,5172400,3401155,Spike
2014-04-03,V,24449200,13160340,Spike
2014-04-06,AXP,5557600,3391330,Spike
2014-04-06,MA,9699100,6421155,Spike
2014-04-06,V,40124000,14799020,Spike
2014-04-10,MA,11610500,7066445,Spike
2014-04-10,V,29939600,17053300,Spike
2014-04-16,AXP,9244400,4049395,Spike
2014-04-24,V,38239200,18241720,Spike
2014-05-26,AXP,5093800,3178315,Spike
2014-06-05,AXP,4550800,2855085,Spike
2014-06-15,MA,5673600,3677700,Spike
2014-06-18,V,15331200,8627080,Spike
2014-06-19,AXP,5387400,3037735,Spike
2014-06-19,MA,9339300,4009750,Spike
2014-06-19,V,18358800,8701520,Spike
2014-06-22,V,14765200,8883900,Spike
2014-06-26,MA,12447500,4564915,Spike
2014-07-24,V,27530400,9965420,Spike
2014-07-27,AXP,4274000,2684175,Spike
2014-07-28,AXP,4773300,2791125,Spike
2014-07-29,AXP,5069300,2893275,Spike
2014-07-30,AXP,7561100,3191555,Spike
2014-07-30,MA,7393700,4352375,Spike
2014-07-31,AXP,12258300,3722780,Spike
2014-08-28,V,14646000,8292740,Spike
2014-09-09,V,12646800,8430120,Spike
2014-09-15,AXP,5946200,3398960,Spike
2014-09-16,MA,5549400,3522340,Spike
2014-09-17,MA,5782900,3681075,Spike
2014-09-18,AXP,7118600,3709120,Spike
2014-09-18,MA,8492600,3971205,Spike
2014-09-18,V,20475200,9622060,Spike
2014-09-29,MA,9347500,4542890,Spike
2014-10-14,AXP,9155600,4778185,Spike
2014-10-14,MA,11596100,5857850,Spike
2014-10-14,V,19668000,11390660,Spike
2014-10-15,AXP,9159300,5020660,Spike
2014-10-15,MA,9418000,6039605,Spike
2014-10-16,AXP,9175000,5123480,Spike
2014-10-29,MA,16292400,6142395,Spike
2014-10-29,V,50857600,13762520,Spike
2014-10-30,MA,11664600,6458725,Spike
2014-10-30,V,24956000,14512280,Spike
2014-12-02,AXP,5911100,3376290,Spike
2014-12-11,MA,6644500,4110990,Spike
2014-12-11,V,15325600,9611100,Spike
2014-12-15,MA,6970300,4425950,Spike
2014-12-18,AXP,7170300,4203435,Spike
2015-01-04,MA,6441400,4182630,Spike
2015-01-05,MA,7690000,4380135,Spike
2015-01-06,AXP,5665200,3719740,Spike
2015-01-13,AXP,6628400,3642710,Spike
2015-01-14,AXP,5830900,3686815,Spike
2015-01-15,AXP,6768700,3765030,Spike
2015-01-19,AXP,6364100,3855525,Spike
2015-01-19,V,14933200,9041720,Spike
2015-01-20,AXP,7185700,3856295,Spike
2015-01-21,AXP,16390100,4530260,Spike
2015-01-22,AXP,7366100,4755325,Spike
2015-01-28,V,15668400,10409980,Spike
2015-01-29,MA,13332400,5461285,Spike
2015-01-29,V,22151600,11222320,Spike
2015-02-01,MA,10576500,5764820,Spike
2015-02-03,V,22170800,12157360,Spike
2015-02-11,AXP,32653100,7779655,Spike
2015-02-12,AXP,34874400,9231830,Spike
2015-02-16,AXP,18578300,9822310,Spike
2015-02-18,AXP,20858000,10858570,Spike
2015-03-10,MA,9452300,5229010,Spike
2015-03-16,V,14290800,9514900,Spike
2015-03-17,V,50658000,11726340,Spike
2015-03-25,AXP,16181300,7028165,Spike
2015-04-16,AXP,22112500,7472655,Spike
2015-04-21,MA,12232000,4318810,Spike
2015-04-21,V,20912400,7995665,Spike
2015-04-28,MA,9364700,4545180,Spike
2015-04-29,MA,7470700,4681870,Spike
2015-04-29,V,11780600,7650315,Spike
2015-05-07,MA,9933400,5005635,Spike
2015-05-07,V,18359000,8702150,Spike
2015-06-18,AXP,13054800,5608965,Spike
2015-06-18,MA,5011200,3054820,Spike
2015-06-25,AXP,15746700,6272395,Spike
2015-06-28,V,9706700,5903645,Spike
2015-07-19,V,10198500,6064925,Spike
2015-07-20,V,10919600,6335320,Spike
2015-07-22,AXP,12256800,5844550,Spike
2015-07-22,V,10755700,6760300,Spike
2015-07-23,MA,6798800,3874415,Spike
2015-07-23,V,21196100,7584850,Spike
2015-07-26,AXP,9861400,5652725,Spike
2015-07-27,MA,6528700,4046415,Spike
2015-07-28,MA,11420600,4379925,Spike
2015-07-28,V,13746900,8112435,Spike
2015-08-06,AXP,23689600,6284075,Spike
2015-08-09,AXP,12609000,6730650,Spike
2015-08-20,MA,7992200,4221920,Spike
2015-08-20,V,15752200,7839215,Spike
2015-08-23,AXP,12873200,7277830,Spike
2015-08-23,MA,11374700,4563710,Spike
2015-08-23,V,20950600,8372055,Spike
2015-08-24,V,14485000,8593590,Spike
2015-08-25,MA,6591600,4325855,Spike
2015-09-08,MA,8118200,4929640,Spike
2015-09-17,AXP,12402900,6217830,Spike
2015-09-27,V,15261200,9443125,Spike
2015-10-21,AXP,23652600,5230700,Spike
2015-10-22,AXP,9341300,5473865,Spike
2015-11-01,V,29966000,9193100,Spike
2015-11-02,V,18899900,9848970,Spike
2015-11-03,AXP,12872700,6068185,Spike
2015-12-06,V,15262400,7821220,Spike
2015-12-07,AXP,7669100,4983375,Spike
2015-12-08,V,15361500,8226615,Spike
2015-12-10,AXP,9094300,5233080,Spike
2015-12-10,V,15625800,8595550,Spike
2015-12-17,AXP,17898900,5965760,Spike
2015-12-17,MA,6039600,3705780,Spike
2015-12-17,V,16271200,9499795,Spike
2016-01-03,AXP,9248300,5916710,Spike
2016-01-03,MA,6378700,3557880,Spike
2016-01-04,AXP,10809200,6207500,Spike
2016-01-05,AXP,9752200,6398790,Spike
2016-01-05,V,16092000,9368640,Spike
2016-01-06,AXP,11323900,6581530,Spike
2016-01-06,MA,6600000,3804620,Spike
2016-01-07,MA,5912100,3844660,Spike
2016-01-12,AXP,11291200,7073075,Spike
2016-01-13,MA,6235800,4116735,Spike
2016-01-14,MA,6459800,4215045,Spike
2016-01-14,V,18470500,9571085,Spike
2016-01-18,MA,10175200,4494745,Spike
2016-01-18,V,16009600,9993800,Spike
2016-01-19,MA,11672100,4776370,Spike
2016-01-19,V,16586000,10009540,Spike
2016-01-21,AXP,43783400,9159140,Spike
2016-01-24,AXP,18498300,9820155,Spike
2016-01-27,AXP,18015000,11482555,Spike
2016-01-27,MA,9169600,5961010,Spike
2016-01-28,MA,16410500,6688700,Spike
2016-01-28,V,40427800,13347030,Spike
2016-02-07,V,30542600,14488410,Spike
2016-03-06,V,16671900,10066955,Spike
2016-03-17,V,15026200,8777730,Spike
2016-04-19,AXP,8498700,4445790,Spike
2016-04-20,AXP,9466700,4738870,Spike
2016-04-21,MA,7176300,3844425,Spike
2016-04-21,V,18216000,8466160,Spike
2016-04-27,MA,6261400,3990575,Spike
2016-05-16,AXP,7977600,5075590,Spike
2016-06-07,MA,4365200,2799290,Spike
2016-06-12,V,10424600,6764335,Spike
2016-06-13,AXP,12323200,4814390,Spike
2016-06-13,MA,5338200,2906450,Spike
2016-06-15,MA,4976200,3059895,Spike
2016-06-16,MA,6941700,3293535,Spike
2016-06-16,V,14602200,7362345,Spike
2016-06-22,V,13566200,8196645,Spike
2016-06-23,AXP,10798700,5016970,Spike
2016-06-23,MA,8356800,3884815,Spike
2016-06-23,V,18375000,8901195,Spike
2016-06-26,MA,7444800,4120840,Spike
2016-06-26,V,16318400,9498385,Spike
2016-06-27,AXP,8294300,5349410,Spike
2016-06-27,V,14815200,9807165,Spike
2016-06-29,MA,12706800,4728175,Spike
2016-06-29,V,24877300,11153210,Spike
2016-06-30,MA,8342100,5004540,Spike
2016-07-05,MA,9412800,5601250,Spike
2016-07-19,AXP,8315800,5465800,Spike
2016-07-20,AXP,9498600,5767590,Spike
2016-08-31,MA,4198100,2758010,Spike
2016-09-07,MA,4605400,3048425,Spike
2016-09-08,MA,5458500,3172795,Spike
2016-09-08,V,11563000,7003995,Spike
2016-09-15,AXP,10475800,4426080,Spike
2016-09-25,AXP,6946600,4618505,Spike
2016-10-05,AXP,7975900,4767385,Spike
2016-10-17,V,11680400,7485685,Spike
2016-10-18,AXP,7888500,4366715,Spike
2016-10-19,AXP,25870700,5499565,Spike
2016-10-20,AXP,8561200,5673430,Spike
2016-10-23,V,16267000,7925195,Spike
2016-10-24,V,15085900,8281015,Spike
2016-10-27,MA,9282800,3684050,Spike
2016-10-30,MA,5820000,3790215,Spike
2016-10-31,MA,7076500,3999945,Spike
2016-11-08,AXP,9319100,5820835,Spike
2016-11-09,AXP,9418700,6080745,Spike
2016-11-09,MA,6584300,4111405,Spike
2016-11-09,V,17171600,9866460,Spike
2016-11-13,MA,7106800,4368975,Spike
2016-11-13,V,21773500,10564945,Spike
